number,reason
1.0,"Przypuszczam, że pozostałe 4 osoby będą chciały podać jak najwyższe liczby, żeby potem mieć wyższy czynnik w mnożeniu. Czyli istnieje ryzyko, że wynik odejmowania będzie mniejszy niż zero. Wtedy mnożąc go przez 1 wynik będzie najwyższy. Ps. Myślę, że gdyby był podany przedział wyboru liczby to decyzja byłaby łatwiejsza, ale i ryzyko mniejsze, więc mniej adrenaliny ;)"
15.0,"Wybrałam 15, ponieważ daje ona najwyższy możliwy wynik przy umiarkowanej sumie pozostałych liczb, maksymalizując iloczyn mojej liczby i pozostałej części z 50, a jednocześnie nie niesie dużego ryzyka straty."
5.0,"Każdy gracz może załatwić pozostałych dając dużą liczbę, z czym nic nie da się zrobić. (jeżeli tego się spodziewamy to dajemy 0, bo to zmaksymalizuje nasz wynik.) Zakładając, że każdy gracz gra optymalnie, i nie posiada informacji o pozostałych, to każdy dotrze do tej samej optymalnej wartości. Zakładając to dochodzimy do maximum funkcji x(50-5x), czyli x=5."
0.0,"Wynik ""0"" jest lepszy niż jakikolwiek ujemny wynik, jeśli inni wezmą duże liczby, tak że S<0."
0.0,"Przy założeniu że wszyscy uczestnicy są w pełni racjonalni i sami mają te same założenia co do konkurentów stawianie na 9 ewentualnie 8 było by rozsądną opcją jednak takowego założenia nie ma i z racji nie zdefiniowania społecznej charakterystyki gry przewiduję konkurowanie z innymi wypełniającymi ankietę, a to oznacza standardy dalekie od pełnej racjonalności w grę wchodzą emocje powierzchowność troling, a nawet scenariż w którym jestem socjopata który wypełni ankietę tysiące razy z multikont wpisując 2137 ""just to prove the point"" brak górnego limitu i wypadkowa zachowań przeciętnego internauty sprawiają że zablokowanie wyniku na 0 by nie spaść z balansem poniżej. Oczywiście nie jest to strategia na wygraną bo trafi się szczęściarz któremu wylosują się odpowiedni partnerzy (chyba że jestem socjopatą to zadbam spamem by się nie trafili) jednak przy wyciąganiu średniej z wielokrotnych testów obstawiam że to zera zostaną jedynymi na powierzchni gdy cała reszta zanurkuje w długu spowodowanym niezrozumieniem pytania lub kotem na klawiaturze."
1.0,"Bardzo Ciekawe zadania. Ostatecznie chyba 1 licząc na to, że suma punktow pozostałych czterech graczy będzie większa od 50. Wówczas różnica między 50 a suma wszystkich punktów będzie mniejsza od 0. I mnazac wynik przez moje 1 będę najbliżej."
8.33,równowaga nasha
5.0,"Wybrałem 5 bo jeśli podam za dużą liczbe suma wszystkich będzie duża, S będzie małe, a mój wynik spadnie, jeśli podam za małą liczbę, S będzie duże, ale ja mnożę przez małą liczbę, więc wynik też będzie niski, a 5 jest w środku ani za duza, ani za mała, daje rozsądne S i wynik, a gdy wszyscy wybiorą 5, suma = 25, S = 25, wynik = 125, i jeśli zmienię liczbę, a inni zostaną przy 5, mój wynik będzie niższy, więc 5 to najlepszy wybór."
-5.0,"Najpierw chciałam podać jak największą liczbę, ale uświadomiłam sobie, że wynik będzie na minusie. W ogóle, minusowy wynik to wg mnie największy problem w tej grze. Dlatego dałam -5. Zakładam, że 5 podanych liczb może w sumie dać liczbę większą od 50, a więc wynik będzie na minusie. Jeśli pomnożymy to przez inną ujemną liczbę, wynik będzie dodatni. Nie dałam mniej niż -5, żeby nie przesadzić (bo suma mogłaby dać wynik dodatni i wtedy przegrywam). Zakłam też, że inni ""automatycznie"" dadzą liczby dodatnie (nikt w pierwszej chwili nie myśli o ujemnych w takich grach)."
2.0,Gdy jest większa liczba zwiększa się prawdopodobieństwo na liczbę ujemną
-5.0,"Taką mam ideę że suma liczb pozostałych ludzi przekroczy 50, a nawet to 55, i wtedy - razy - daje + czyli free win"
5.0,"Jeżeli wszyscy w miarę rozumieją tę grę, powinno im zależeć na jak najmniejszej stracie z odejmowania (50 minus x1 minus x2 minus x3 minus x4), przy jednoczesnym jak największym mnożeniu. Dlatego, metodą prób i błędów, doszedłem do liczby 5."
9.0,Otrzymany wynik mnożony przez liczbę 9 gwarantuje najwyższy wynik.pod.warunkiem że otrzymaną suma będzie wyższa niż 0 a pozostałe cztery osoby podadzą liczbę niższa od 9 
5.0,"Jeżeli każdy z uczestników myśli racjonalnie i chce zmaksymalizować swój wynik, sytuacja jest symetryczna. Wtedy sensowne jest założenie, że pozostali wybiorą tę samą liczbę co ja. Mój wynik: x \cdot (50 - 5x) To jest parabola skierowana w dół. Maksimum wypada dokładnie w wierzchołku: x = 5 Sprawdzenie: • suma liczb: 5 \times 5 = 25 • S = 50 - 25 = 25 • mój wynik: 5 \times 25 = 125 Każda próba „cwaniakowania” (np. 8, 10 itd.) obniża wynik, jeśli inni też myślą logicznie."
-3.0,"Podejrzewam, że inne osoby będą zuchwałe i podadzą duże liczby dodatnie, żeby osiągnąć wynik wyższy niż inni. W ten sposób łączna różnica łatwo ""zejdzie na minus"" i wtedy tylko pomnożenie jej przez drugą liczbę ujemną da dodatni, być może wysoki wynik."
8.0,Równowaga
-3.0,"Jeśli suma wszystkich osób będzie większa od 50, to S będzie ujemne, więc wynik będzie dla mnie wtedy nie mniejszy niż 150."
1.0,"Jeżeli inni podadzą liczby większe niż moja i wynik wyjdzie ujemny, to mnożąc następnie S przez liczby X1,X2, itd, to ja otrzymam najmniejszą liczbę ujemną, czyli w tym wypadku najwyższą. Zakładając, że nikt nie poda w takim scenariuszu liczby 0."
0.0,"Inni gracze mogą podawać bardzo duże liczby i wtedy S może zrobić się ujemne. W opisie gry brak informacji jaką liczbę można wybrać - dowolną rzeczywistą, czy tylko nieujemną...?"
6.0,"Matematycznie najbardziej opłaca się wszystkim wybrać 5 (maksimum funkcji y=(50-5x)*x), ale ponieważ 50/5=10 i czuję że inni mogą dać liczby bliżej 10, to ja też swoją delikatnie podnoszę ;)"
1.0,"Myślę, że przy pięciu osobach jest duże prawdopodobieństwo, że po odjęciu od 50 wyjdzie ujemna liczba, a każde mnożenie przez ujemną liczbę, będzie zmniejszało mój wynik. Mnożenie przez 1 najmniej go zmniejszy."
-1.0,"zgaduję, że pozostali uczestnicy mogliby wybrac liczby ktorych suma znacznie przekraczalaby 50 poniewaz chcieliby uzyskac jak największą liczbę punktów jeżeli tak by się wydarzylo to jako jedyny posiadajacy ujemna liczbe x mialbym dodatni wynik, jezeli inni pomysleliby jednak w ten sam sposob co ja to majac nie daleką od zera liczbe jak -1 mialbym rowniez najwyzszy wynik bo -1 * dodatnie S jest wieksze niz -10 *s 
"
